PAM,VFSC
86.16,65.76
86.09,65.32
85.97,64.88
85.80,64.48
85.57,64.16
85.30,63.87
84.99,63.59
84.66,63.32
84.31,63.05
83.97,62.75
83.62,62.45
83.26,62.17
82.91,61.91
82.55,61.69
82.21,61.56
81.87,61.45
81.54,61.39
81.22,61.35
80.91,61.33
80.64,61.36
80.38,61.40
80.13,61.45
79.89,61.50
79.64,61.54
79.29,61.43
78.94,61.29
78.63,61.21
78.39,61.20
78.25,61.31
78.34,61.79
78.55,62.43
78.88,63.15
79.31,63.92
79.83,64.71
80.49,65.44
81.21,66.13
81.97,66.76
82.74,67.31
83.48,67.71
84.16,67.94
84.79,68.05
85.36,68.06
85.86,67.99
86.22,67.81
86.45,67.54
86.59,67.21
86.67,66.84
86.68,66.44
86.66,66.07
86.61,65.74
86.52,65.41
86.41,65.07
86.27,64.75
86.13,64.43
86.02,64.13
85.88,63.83
85.73,63.52
85.54,63.19
85.32,62.83
85.01,62.36
84.67,61.88
84.32,61.40
83.95,60.93
83.58,60.49
83.26,60.15
82.94,59.85
82.61,59.59
82.27,59.37
81.93,59.18
81.45,58.97
80.98,58.80
80.54,58.71
80.16,58.70
79.88,58.80
79.86,59.18
79.93,59.64
80.07,60.16
80.28,60.69
80.52,61.18
80.75,61.53
81.02,61.85
81.31,62.14
81.62,62.42
81.96,62.68
82.33,62.94
82.71,63.18
83.08,63.42
83.45,63.64
83.79,63.84
84.07,64.04
84.33,64.22
84.57,64.39
84.79,64.54
85.01,64.67
85.25,64.82
85.47,64.94
85.66,65.02
85.82,65.05
85.92,65.03
85.89,64.82
85.82,64.55
85.71,64.27
85.59,63.98
85.46,63.70
85.39,63.58
85.32,63.49
85.28,63.43
85.25,63.38
85.24,63.34
85.32,63.32
85.42,63.30
85.53,63.24
85.62,63.15
85.68,63.00
85.66,62.60
85.58,62.12
85.47,61.63
85.32,61.17
85.14,60.80
84.91,60.74
84.66,60.87
84.39,61.08
84.11,61.35
83.84,61.63
83.57,61.79
83.32,61.88
83.10,61.99
82.91,62.12
82.75,62.30
82.65,62.65
82.60,63.08
82.60,63.54
82.66,64.03
82.77,64.51
83.03,64.92
83.35,65.29
83.71,65.64
84.08,65.96
84.44,66.27
84.71,66.59
84.93,66.89
85.12,67.15
85.29,67.33
85.43,67.42
85.54,67.32
85.64,67.07
85.72,66.74
85.78,66.34
85.82,65.89
85.85,65.42
85.88,64.94
85.89,64.47
85.89,64.01
85.88,63.58
85.87,63.20
85.90,63.04
85.93,62.93
85.91,62.85
85.86,62.77
85.74,62.68
85.46,62.44
85.07,62.09
84.62,61.74
84.14,61.41
83.65,61.12
83.20,60.95
82.81,60.97
82.44,61.03
82.08,61.14
81.73,61.26
81.36,61.35
80.88,61.25
80.44,61.17
80.08,61.16
79.82,61.26
79.71,61.53
80.00,62.25
80.42,63.11
80.93,64.05
81.50,65.04
82.09,66.02
82.61,66.91
83.11,67.74
83.59,68.48
84.03,69.10
84.42,69.53
84.69,69.58
84.91,69.51
85.10,69.36
85.24,69.15
85.36,68.95
85.45,68.97
85.52,69.01
85.58,69.05
85.64,69.09
85.70,69.10
85.83,69.09
85.98,69.03
86.13,68.92
86.28,68.74
86.42,68.50
86.54,68.10
86.64,67.56
86.71,66.95
86.75,66.29
86.74,65.61
86.68,64.92
86.53,64.25
86.32,63.61
86.06,63.00
85.75,62.44
85.40,61.94
84.94,61.53
84.44,61.22
83.94,61.00
83.46,60.87
83.03,60.85
82.74,61.00
82.60,61.32
82.52,61.71
82.50,62.16
82.53,62.63
82.59,63.07
82.68,63.44
82.80,63.80
82.93,64.14
83.08,64.47
83.22,64.81
83.36,65.16
83.49,65.48
83.62,65.77
83.74,65.99
83.86,66.15
83.97,66.23
84.07,66.22
84.16,66.11
84.24,65.88
84.30,65.52
